Size,Avg Comparisons,Avg Copies,Sorted Comparisons,Sorted Copies,Reverse Comparisons,Reverse Copies
1000,498619,749018,999,0,499500,1498500
2000,1997070,2998918,1999,0,1999000,5997000
3000,4495477,6749600,2999,0,4498500,13495500
4000,7994390,11992500,3999,0,7998000,23994000
5000,12492265,18735626,4999,0,12497500,37492500
6000,17991170,26981441,5999,0,17997000,53991000
7000,24489388,36724068,6999,0,24496500,73489500
8000,31988739,47979766,7999,0,31996000,95988000
9000,40485430,60738134,8999,0,40495500,121486500
10000,49985434,74963274,9999,0,49995000,149985000
25000,312463495,468663285,24999,0,312487500,937462500
50000,1249928170,1874179354,49999,0,1249975000,3749925000
100000,4999853037,7500127861,99999,0,4999950000,14999850000
