Size,Avg Comparisons,Avg Copies,Sorted Comparisons,Sorted Copies,Reverse Comparisons,Reverse Copies
1000,953565,710172,2897,0,996902,1403964
2000,3868147,2906007,5800,0,4001801,5771022
3000,8759526,6590179,8744,0,9002745,13122348
4000,15634114,11767818,11301,0,15987306,23466570
5000,24491035,18440238,14132,0,25004133,36804474
6000,35354110,26610320,17481,0,35981486,53142504
7000,48167987,36267165,20467,0,48978472,72452214
8000,63052797,47458722,22597,0,64006598,94789914
9000,79773280,60129679,26302,0,81008303,120091434
10000,98663087,74283936,28252,0,99968257,148428486
25000,619655838,466654152,70623,0,624920628,932974782
50000,2485338956,1869586680,147161,0,2500047162,3739735422
100000,9960806609,7490119558,294216,0,9999694221,14977884750
