Size,Avg Comparisons,Avg Copies,Sorted Comparisons,Sorted Copies,Reverse Comparisons,Reverse Copies
1000,4497,2997,4497,2997,4497,2997
2000,8997,5997,8997,5997,8997,5997
3000,13497,8997,13497,8997,13497,8997
4000,17997,11997,17997,11997,17997,11997
5000,22497,14997,22497,14997,22497,14997
6000,26997,17997,26997,17997,26997,17997
7000,31497,20997,31497,20997,31497,20997
8000,35997,23997,35997,23997,35997,23997
9000,40497,26997,40497,26997,40497,26997
10000,44997,29997,44997,29997,44997,29997
25000,112497,74997,112497,74997,112497,74997
50000,224997,149997,224997,149997,224997,149997
100000,449997,299997,449997,299997,449997,299997
